fid,DN,area_m2,distance,angle,Latitude,Longitude,geometry
127,1,1005715.618,3020.0,225.0,25.7184621,74.1352447,POINT (413250 2844790)
127,1,1005715.618,3030.0,270.0,25.7184615,74.1351451,POINT (413240 2844790)
127,1,1005715.618,3040.0,225.0,25.7184609,74.1350454,POINT (413230 2844790)
127,1,1005715.618,3050.0,225.0,25.7183706,74.135046,POINT (413230 2844780)
127,1,1005715.618,3060.0,315.0,25.71837,74.1349464,POINT (413220 2844780)
127,1,1005715.618,3070.0,315.0,25.7184603,74.1349457,POINT (413220 2844790)
127,1,1005715.618,3080.0,270.0,25.7184597,74.134846,POINT (413210 2844790)
127,1,1005715.618,3090.0,315.0,25.7184591,74.1347464,POINT (413200 2844790)
127,1,1005715.618,3100.0,315.0,25.7185494,74.1347457,POINT (413200 2844800)
127,1,1005715.618,3110.0,315.0,25.7185488,74.134646,POINT (413190 2844800)
127,1,1005715.618,3120.0,315.0,25.7186391,74.1346454,POINT (413190 2844810)
127,1,1005715.618,3130.0,270.0,25.7186385,74.1345457,POINT (413180 2844810)
127,1,1005715.618,3140.0,270.0,25.7186379,74.134446,POINT (413170 2844810)
127,1,1005715.618,3150.0,270.0,25.7186373,74.1343463,POINT (413160 2844810)
127,1,1005715.618,3160.0,270.0,25.7186368,74.1342467,POINT (413150 2844810)
127,1,1005715.618,3170.0,315.0,25.7186362,74.134147,POINT (413140 2844810)
127,1,1005715.618,3180.0,315.0,25.7187265,74.1341463,POINT (413140 2844820)
127,1,1005715.618,3190.0,270.0,25.7187259,74.1340467,POINT (413130 2844820)
127,1,1005715.618,3200.0,270.0,25.7187253,74.133947,POINT (413120 2844820)
127,1,1005715.618,3210.0,270.0,25.7187247,74.1338473,POINT (413110 2844820)
127,1,1005715.618,3220.0,315.0,25.7187241,74.1337476,POINT (413100 2844820)
127,1,1005715.618,3230.0,315.0,25.7188144,74.133747,POINT (413100 2844830)
127,1,1005715.618,3240.0,270.0,25.7188138,74.1336473,POINT (413090 2844830)
127,1,1005715.618,3250.0,315.0,25.7188132,74.1335476,POINT (413080 2844830)
